Rang,Joueur,Poste,Age,Valeur,Buts_2021,Passes_2021,Minutes_2021,Buts_2022,Passes_2022,Minutes_2022,Buts_total,Passes_total,Minutes_total
303,David Datro Fofana,Avant-Centre,20,10.0,17,6,1955,5,1,978,25,11,3771
304,Giovani,Ailier Droit,19,10.0,4,3,795,1,3,385,6,7,1912
305,Carlos Forbs,Ailier Gauche,19,10.0,13,5,1127,29,18,2622,55,42,5489
306,Georges Mikautadze,Avant-Centre,22,10.0,14,2,2740,24,9,3320,68,14,9812
307,Simon Adingra,Ailier Gauche,21,10.0,17,5,2300,15,15,3111,40,26,6536
308,Igor Paixão,Ailier Gauche,23,10.0,11,8,3046,9,6,1608,34,19,10295
309,Tajon Buchanan,Ailier Droit,24,10.0,1,2,1262,1,6,2464,16,19,7939
310,Ferran Jutglà,Avant-Centre,24,10.0,21,6,3177,15,8,2829,48,17,9922
311,Johan Bakayoko,Ailier Droit,20,10.0,17,12,2518,9,6,2475,37,25,7514
312,Sékou Mara,Avant-Centre,21,10.0,6,2,952,6,3,1035,18,7,3156
313,Fernando,Avant-Centre,24,10.0,8,2,876,6,5,789,19,11,3829
314,Zeki Amdouni,Avant-Centre,22,10.0,15,0,2873,22,5,3825,72,10,12257
315,Sergio Camello,Avant-Centre,22,10.0,15,4,2913,7,5,2608,44,10,10579
316,Facundo Torres,Ailier Droit,23,10.0,13,10,3186,7,2,2134,36,27,11020
317,Cucho Hernández,Avant-Centre,24,10.0,14,5,2687,8,8,1720,70,28,16126
318,Gabriel Strefezza,Ailier Droit,26,10.0,14,6,2777,9,4,2582,41,26,15099
319,Artur,Ailier Droit,25,10.0,10,9,4007,13,3,3391,63,48,22429
320,Paulinho,Ailier Gauche,23,10.0,4,3,1633,17,6,3305,30,14,7494
321,Joël Piroe,Avant-Centre,24,10.0,24,6,3690,20,2,3953,108,28,17656
322,Rafa Mir,Avant-Centre,26,10.0,13,0,2468,8,1,1735,84,15,15514
323,Junya Ito,Ailier Droit,30,10.0,8,21,3891,6,6,3089,62,89,26590
324,Róger Guedes,Ailier Gauche,26,10.0,15,6,4689,22,2,3632,90,29,20543
325,Deniz Undav,Avant-Centre,27,10.0,27,13,3466,8,1,921,123,53,18366
326,Lucas Boyé,Avant-Centre,27,10.0,7,3,1723,7,4,2580,37,20,15258
327,Jonathan Burkardt,Avant-Centre,23,10.0,14,4,2845,1,2,611,49,27,10425
328,Roland Sallai,Ailier Droit,26,10.0,5,6,1782,2,7,1407,34,33,13988
329,Adam Armstrong,Avant-Centre,26,10.0,2,3,1758,3,1,2025,118,40,25788
330,Antonio Sanabria,Avant-Centre,27,10.0,6,5,1812,12,4,2679,78,18,16900
331,Franck Honorat,Ailier Droit,27,10.0,11,6,3105,6,6,2637,38,44,17046
332,Neal Maupay,Avant-Centre,27,10.0,9,2,2505,1,1,1263,94,28,21508
333,Adama Traoré,Ailier Droit,27,10.0,1,4,1903,3,2,1852,31,59,21851
334,Andrea Petagna,Avant-Centre,28,10.0,4,5,1004,5,7,1688,83,38,22188
335,Michy Batshuayi,Avant-Centre,29,10.0,14,5,3140,20,2,1860,164,41,24639
336,Moi Gómez,Ailier Gauche,29,10.0,3,3,1710,3,3,2846,35,51,26160
337,Gerard Deulofeu,Avant-Centre,29,10.0,13,5,2652,3,7,1334,79,72,21314
338,Nathan Redmond,Ailier Droit,29,10.0,3,6,2128,6,6,1823,58,65,31083
339,Philippe Coutinho,Ailier Gauche,31,10.0,7,3,1946,1,0,916,107,79,30005
340,Diego Rossi,Ailier Gauche,25,9.5,6,9,2339,4,11,2637,82,53,18438
341,Matheus Nascimento,Avant-Centre,19,9.0,7,1,1703,3,1,699,11,3,3558
342,Jaidon Anthony,Ailier Gauche,23,9.0,8,7,3503,4,1,1592,13,9,5815
343,Andreas Schjelderup,Ailier Gauche,19,9.0,4,1,1417,11,1,1576,26,6,4653
344,Ricardo Pepi,Avant-Centre,20,9.0,0,0,475,13,3,2741,40,8,7243
345,Antoine Semenyo,Avant-Centre,23,9.0,8,12,2166,9,2,1811,28,24,9507
346,Samuel Iling Junior,Ailier Gauche,19,9.0,11,10,3046,6,4,1428,21,22,6756
347,Anastasios Douvikas,Avant-Centre,24,9.0,10,3,2528,22,4,2729,56,14,11316
348,Lyle Foster,Avant-Centre,22,9.0,5,5,1683,9,5,2147,19,13,6050
349,Aleksandr Sobolev,Avant-Centre,26,9.0,15,6,2300,15,9,2403,95,31,15602
350,Joshua Zirkzee,Avant-Centre,22,9.0,18,13,3101,2,2,882,72,42,10395
351,Julián Quiñones,Avant-Centre,26,9.0,15,9,3779,23,4,3724,77,23,15310
352,Zakaria Aboukhlal,Ailier Droit,23,9.0,8,1,1332,15,5,2892,65,33,13492
353,Rafael Borré,Avant-Centre,27,9.0,12,8,3551,3,4,1714,101,39,19725
354,Everton,Ailier Gauche,27,9.0,10,12,4373,4,7,2124,81,52,24153
355,Myrto Uzuni,Ailier Gauche,28,9.0,22,9,3211,23,5,3060,101,40,21606
356,Borja Mayoral,Avant-Centre,26,9.0,7,2,1294,9,2,2895,88,25,16235
357,Ludovic Ajorque,Avant-Centre,29,9.0,12,8,2853,7,1,2060,90,28,21037
358,Ryan Kent,Ailier Gauche,26,9.0,3,19,3879,3,10,3670,48,71,25694
359,Michael Olunga,Avant-Centre,29,9.0,30,3,2637,33,4,2604,162,27,16774
360,Sergi Canós,Ailier Droit,26,9.0,4,2,2372,4,3,530,47,45,16569
361,Wanderson,Ailier Gauche,28,9.0,7,3,2067,4,7,3004,38,53,20982
362,Vincent Janssen,Avant-Centre,29,9.0,3,1,1569,21,6,3465,131,38,22274
363,Mohamed Elyounoussi,Ailier Gauche,29,9.0,8,4,2252,1,2,2502,116,69,28670
364,Patrick Bamford,Avant-Centre,29,9.0,2,3,671,9,4,1745,125,49,23642
365,Chimy Ávila,Avant-Centre,29,9.0,7,2,1980,9,2,2068,46,13,11640
366,Dudu,Ailier Gauche,31,9.0,11,13,5162,3,6,3066,89,117,35990
367,Erik Lamela,Ailier Droit,31,9.0,5,3,1132,9,3,2766,76,72,25523
368,Julien Duranville,Ailier Droit,17,8.5,0,0,7,2,0,625,2,0,632
369,Maximiliano Araújo,Ailier Gauche,23,8.5,4,3,3142,8,8,3428,17,14,10389
370,Esequiel Barco,Ailier Gauche,24,8.5,5,4,2529,8,4,2292,40,33,15899
371,Milot Rashica,Ailier Droit,27,8.5,2,2,2445,6,8,2266,50,53,19318
372,Jeffinho,Ailier Gauche,23,8.0,4,7,2497,2,1,498,9,9,3416
373,Bamba Dieng,Avant-Centre,23,8.0,8,3,1568,5,1,1115,14,4,3104
374,Agustín Álvarez,Avant-Centre,22,8.0,1,1,1421,1,1,392,35,11,7000
375,Amin Sarr,Avant-Centre,22,8.0,6,1,1275,6,7,2364,22,10,6016
376,Samuel Edozie,Ailier Gauche,20,8.0,4,2,1392,0,1,1195,14,11,5635
377,Kayky,Ailier Droit,20,8.0,6,4,1257,3,4,1657,12,10,4009
378,Alan Velasco,Ailier Gauche,21,8.0,7,5,2208,4,2,1982,19,17,8598
379,Tyrhys Dolan,Ailier Droit,21,8.0,5,3,1966,6,7,2581,16,14,6858
380,Silas,Ailier Droit,24,8.0,0,0,272,7,2,2252,41,18,9146
381,Jhon Arias,Ailier Gauche,25,8.0,16,17,4449,5,13,3515,30,36,15670
382,Emanuel Emegha,Avant-Centre,20,8.0,2,0,1022,10,5,2228,27,8,5449
383,Michael,Ailier Gauche,27,8.0,3,6,1354,8,6,2105,52,39,15694
384,Pedrinho,Ailier Droit,25,8.0,4,3,1487,0,1,1055,13,16,9548
385,Joe Gelhardt,Avant-Centre,21,8.0,9,7,1450,5,6,2032,32,16,5823
386,Edon Zhegrova,Ailier Droit,24,8.0,6,7,1283,4,5,1210,22,26,7027
387,Francisco Conceição,Ailier Droit,20,8.0,3,4,756,6,3,1264,13,12,3909
388,Moussa Djenepo,Ailier Gauche,25,8.0,0,0,674,1,4,1062,17,13,7099
389,Jesús Ferreira,Avant-Centre,22,8.0,18,6,2932,11,3,1986,53,26,11907
